<MOH id = 0 >	****** Result for Image/Page 1 ******
<MOH id = 812 >	16 Shá:wak Rawenní:io raoianerénhsera' tánon' karì:wes enhsónhnheke'; tóka' iah thahsié:na', enhsíheie' ki'.
<MOH id = 813 >	17 Nó:nen enhshé:ion' ne iakó:ten, ne shà:ka ne áhtsheni' ne Roiá:ner tánon' Roiá:ner enshiakária'khse'.
<MOH id = 814 >	18 Sherihwakwaríhsien sheien'okòn:'a tsi nikarì:wes ken' nihonnà:sa nahatiweientéhta'ne' nahò:ten' tkaié:ri. Tóka' iah tho tháhsiere' sheienawà:se' nahontatáhton'te'.
<MOH id = 815 >	19 Tóka' ónhka rana'khwahseró:hen, ráonha ki' ratkéhtat tsi neniá:wen'ne'. Tóka' ká:ti' énska ienká:ienhte' nahtshe'niá:kenhte', ó:nen'k ki' tsi shé:kon ensehtshe'niá:kenhte'.
<MOH id = 816 >	20 Tóka' enhsatahónhsatate' ne ka'nikonhrí:io tánon' tho nisa'nikonhrò:ten' nahseweientéhta'ne', entewenhniseraién:take' tensa'nikonhráthe'ne'.
<MOH id = 817 >	21 Nón:kwe nia'té:kon tsi ní:tsi ahonte'nikonhrísa', nok ki' Roiá:ner tsi niho'nikonhrò:ten' eh tho ki' neniá:wen'ne'.

<MOH id = 819 >	****** Result for Image/Page 43 ******

<MOH id = 822 >	22 Ioterihwatéha ne iakotétshen; rotí:ten ne sénha ioiánere' tsi ronnónhnhe' tsi ní:ioht ne rotinó:wen's.
<MOH id = 823 >	23 Tshewén:narahkw ne Roiá:ner tánon' karì:wes enhsónhnheke', skén:nen enhsanonhtonniónhake' tánon' ensaia'tanónhstate' nahò:ten' ahsatkarón:ni'.
<MOH id = 824 >	24 Ótia'ke' nón:kwe só:tsi iakentóhrha' natennà:tshera' tsi iehsakà:ronte' iaiakéta'.
<MOH id = 825 >	25 Atkenhronniáhtshera' teiotonhwentsóhon akahrewáhton, ó:nen ki' nen' nè:'e nón:kwe ne iah thiekaié:ri teiakoterièn:tare' enwá:ton' naieweientéhta'ne'. Tóka' ká:ti' tesa'nikonhráthe', enhseweientéhta'ne' nónhka aiesarihwakwaríhsien'.
<MOH id = 827 >	26 Nek ne kwah iotonkwe'tatéha tánon' rotatshennaksà:ton rón:kwe tenhoteriahtíkhon' ro'níha tóka' ò:ni' ro'nisténha aontahshakoia'tínekenhwe' ne raonónhskon.
<MOH id = 828 >	27 Konièn:'a, nó:nen enhsatoríshen' tsi sateweiénstha' iosnó:re' entsisa'nikónhrhen' nahò:ten' saweientehtà:'on.
<MOH id = 829 >	28 Iah thé: teká:ien naterihwakwarihsiónhtshera' ne iakote'nikonhríson naierihwahní:rate' nónhka aiontatkarón:ni'. Nón:kwe iah tetiakorihwaié:ri ienorónhkhwa' tsi nahò:ten' ne karihwáksen.
<MOH id = 831 >	29 Nónhka rontatkweniénhstha' tánon' rotinonhwaró:ri kwah orihwí:io tsi ronnéhsaks nónhka ahonwanonwenhserário'.

<MOH id = 833 >	20 Só:tsi é:so enhshnekì:ra' tesaterien'takária tánon' sanonhwaró:ri. Teiotenonhwarorì:tonte' naiakohné:kata'ne'.
<MOH id = 835 >	2 Ehtshetshahníhsek ne ronontí:io nó:nen rona'khwèn:'en tsi ní:ioht tsi nihawennò:ten' ne kèn:reks; enhtshena'kón:ni' ne sha'té:ioht ne ahsatatáhsehte'.
<MOH id = 836 >	3 Thikawenní:io ónhka tehotenonhwarorì:tonte' aontahatáhsawen' ne tahaterihwakén:ni'; ne ioiánere' é:ren satatia'tenhá:wiht.
<MOH id = 837 >	4 Ne raiénthos só:tsi rentóhrha' nahen'tarakahrhátho' ne rothéhtaien tsi nikahá:wi teiotonhwentsóhon, iah othé:nen ki' thahaienthó:ko'.

<MOH id = 839 >	****** Result for Image/Page 44 ******

<MOH id = 842 >	5 Nón:kwe akononhtonniónhtshera' ne shà:ka ne tó:k niiohnó:tes ohnawerá:kon, nónhka iako'nikonhraientà:tskon ienieién:tere'ne' tsi nahò:ten' ionnonhtónnions.
<MOH id = 843 >	6 Akwé:kon rón:ton rorihwató:ken tánon' tharihwaié:rits, nek sate'nién:ten ki' ahtshia'tatshénria'se' nónhka tho nihaia'tò:ten'!
<MOH id = 844 >	7 Ronatáhska ratiksa'okòn:'a tóka' roti'níhshen ne rorihwakwaríhsion tánon' tho nihaiéhrha' tsi nahò:ten' tkaié:ri.
<MOH id = 845 >	8 Ronontí:io tehshakoia'toréhtha' tánon' roterièn:tare' nó:nen enhatkáhtho' iah tetkaié:ri.
<MOH id = 846 >	9 Ónhka ken enhakwé:ni' nahèn:ron' akwé:kon ioiánere' tsi ranonhtónnionhs; é:ren rohawíhton tsi rorihwanéren?
<MOH id = 847 >	10 Roiá:ner shakotahkwáhswens nón:kwe ie'nikonhrhà:tha' ne tehshakonato'ktahkwén:nis tsi iekon'tsheriháhrha' tánon' ionte'nienténhstha'.
<MOH id = 848 >	11 Ok ò:ni' ratiksa'okòn:'a wè:ne' tsi nikaksa'tò:ten' tsi nihontiéhrha'; enhsáttoke' tóka' rotirihwakwaríhsion tánon' ratiksa'tí:io.
<MOH id = 849 >	12 Roiá:ner tehshonkwá:wi okà:ra' naietewatkáhtho' tánon' ohónhta' ne aionkwathón:te'ne'.
<MOH id = 850 >	13 Tóka' tió:konte' sén:ta's, ensenténhta'ne' ki'. Tesatateweienhnhá:raht tánon' é:so ensaién:take' áhseke'.
<MOH id = 851 >	14 Rón:kwe nahò:ten' rahní:nons tiótkon rorihwaka'tèn:'en só:tsi kanó:ron, sok tenhataterénhsaron' tsi tahati'serón:nenhte' tsi nahakária'ke'.
<MOH id = 852 >	15 Tóka' saterièn:tare' nahò:ten' sahtharáhkwen, ne ki' sénha kanó:ron sá:ien tsi ní:ioht ne ohwistanoron'shòn:'a.
<MOH id = 853 >	16 Nónhka tehotenonhwarorì:tonte' ne ahahrhá:ratste' aonsahakária'ke' tsi rotká:rote' ne iah tehoienté:ri, nek tsi raonhwentsá:ien ia'ténkene' tsi enshakária'ke'.
<MOH id = 854 >	17 Nahò:ten' ensaién:ta'ne' ne ka'nikonhrhà:ton tho ní:tsi ensé:ka'we' tsi ní:ne kwah kakhwí:io, nek tsi iosnó:re' tsi ní:ioht ne o'nehsarónhkwa' tentkà:ra'ne' tshá:kon.
<MOH id = 855 >	18 Ka'nikonhrí:io séhsak tánon' ensaterihwahténtia'se'; tóhsa ia'sewahtén:ti tsi nón:we tewaterí:io tóka' iah tesate'nikonhrón:ni.
<MOH id = 856 >	19 Ne tekarihwenhahwíhton iah nonwén:ton thaonteri'wáhsehte'. É:ren í:seht nón:kwe ne iakoterihwatiè:ni.
<MOH id = 857 >	 
<MOH id = 858 >	****** Result for Image/Page 45 ******

<MOH id = 861 >	20 Tóka' enhshekenhren'senón:ni' iesaièn:'a, tsi sónhnhe' enwatò:kten' tsi ní:ioht ne oháhsera' aòn:swa' nó:nen tetiò:karas.
<MOH id = 862 >	21 Sénha watié:sen tsi aiesakwátshe'ne', kà:ron ki' nenhsatshennónnia'te'.
<MOH id = 863 >	22 Tóhsa ní:se' saskária'kt nahò:ten' wahétken. Tsheniáhes Roiá:ner ne enharihwakwatá:ko'.
<MOH id = 864 >	23 Roiá:ner shakóhswens nón:kwe ie'nikonhrhà:tha' tehshakonato'ktahkwén:ni tsi enhatikon'tsherihá:ren'.
<MOH id = 865 >	24 Roiá:ner rote'nikonhríson tsi niionkwahahò:ten'; ónhka ká:ti' eniako'nikonhraién:ta'ne' ne ráonha tsi nihohahà:ten'?
<MOH id = 866 >	25 Se'nikòn:rarak tsi nahò:ten' enhsanonhtónnionhwe' ohén:ton nenhtshehrharátsten' aontahsáhtka'we'/naontahtsháttatshe' ne Rawenní:io. Tóka' nòn:wa ensehsatateri'wáhsten' ohna'kénhkha.
<MOH id = 867 >	26 Ronontí:io ne ra'nikonhraweiónhon enharihwatshén:ri' nónhka karihwahétken tsi nihatiéhrha', iah thahó:tenre' tsi ní:tsi enhohré:wahte'.
<MOH id = 868 >	27 Roiá:ner tehshonkwá:wi no'nikòn:ra' naionkwaterièn:tarake' nahò:ten' ne tkaié:ri nahò:ten' ò:ni' ne wahétken; iah thaón:ton' naietewáhsehte' tsi nitewatiéhrha'.
<MOH id = 869 >	28 Ronontí:io enho'shatstenhseraién:take' tsi nikarì:wes rorihwakwaríhsion tánon' thorihwaié:ri.
<MOH id = 870 >	29 Watkahthohtsherí:io raoti'shatsténhsera' ne ken' nithotiièn:sa/nithotiiòn:sa nok ne rotiksten'okòn:'a ó:nen rotinonhkware'tarà:ken aó:wenk naiethikwénienhste'.
<MOH id = 871 >	30 Sewatié:rens iohkará:renht tsi nahò:ten' teionkwatohetstánion ne ki' entkáhawe' taonsetewatonhnhaté:ni'.
<MOH id = 872 >	
<MOH id = 873 >	
<MOH id = 874 >	21 Roiá:ner tho niwatié:sen tsi enthanónhton' ne ronontí:io rao'nikòn:ra' tsi ki' niwatié:sen tsi shakotórie's nohneka'shòn:'a.
<MOH id = 875 >	2 Íhsehre'k tóka' akwé:kon tsi nihsatiéhrha' tkaié:ri nok sehià:rak tsi Roiá:ner tenhiaia'tó:rehte' serià:ne tsi nihsatieránions.
<MOH id = 876 >	3 Tho nà:tser tsi nahò:ten' ne tkaié:ri, ne sénha enhawerien'tí:io' ne Roiá:ner ne aontahtshawíhten' ne karihwiiose'okòn:'a naterennaientatsherá:kon.

<MOH id = 879 >	****** Result for Image/Page 46 ******

<MOH id = 882 >	4 Nón:kwe iakorihwanera'ákskon ne iakoniarawà:kon tsi iontatkweniénhstha' tánon' iontatón:ni ne ká:ti' kí:ken karihwáksen.
<MOH id = 883 >	5 Ioiánere' tsi ní:tsi sate'nikonhrón:ni tánon' é:so ensaién:take', tóka' só:tsi iosnó:re' tsi nahsátiere', iah ki' nonwén:ton thia'taiesaié:rihse'.
<MOH id = 884 >	6 Ne iah teioterihwakwaríhsion tsi enhsié:na' ne kakwatshéhsera' iosnó:re' tsi entsisáhton'se', ne entkarihón:ni' tsi kenheià:thne niensaia'ténhawe'.
<MOH id = 885 >	7 Ne rotirihwanera'ákskon enhontetsí:rahte' né: tsi ronteriiohseranòn:we, iah thahonthón:tate' tho nahatí:iere' tsi nahò:ten' tkaié:ri.
<MOH id = 886 >	8 Nón:kwe ne roti'nhì:kon iothahakwá:ton tsi rón:ne's; ne iah tehoti'nhì:kon eh tho nen' nè:'e nenhatí:iere' tsi nahò:ten' tkaié:ri.
<MOH id = 887 >	9 Ne sénha ioiánere' karonhkwe'nà:ke ahen'terón:take' tsi ní:ne kanónhskon ró:ne skátne ahni'terón:take', tóka' tió:konte' iontewennaién:tons.
<MOH id = 888 >	10 Nón:kwe rotirihwanera'ákskon tiótkon ronesakonhátie's ne karihwanéren; iah ónhka tehshakotitén:ras.
<MOH id = 889 >	11 Nó:nen ónhka ratatkweniénhstha' enhathré:wahte', nok ò:ni' nón:kwe ne iah teiakononhtonnionhtsherá:ien enieweientéhta'ne'. Tsi nahò:ten' enhonwarihónnien' ne teho'nikonhráthe' enhaweientéhta'ne'.
<MOH id = 891 >	12 Rawenní:io, ne kwah thorihwaié:ri roterièn:tare' tsi nihontiéhrha' raotinonhskónhshon ne iah tetionkwe'taié:ri, enhshakóhtka'we' tánon' akwé:kon enhonáhton'se' nahò:ten' rotí:ien.
<MOH id = 892 >	13 Tóka' iah thahsatahónhsatate' ne rotí:ten tsi iesa'nekén:ni, nó:nen ní:se' enhshe'né:ken' aiesaia'takéhnha' iah ónhka taiakothón:te'ne'.
<MOH id = 893 >	14 Tóka' ónhka iesana'khwà:se', atahsehtòn:ke tiok nahò:ten' énhtshon' ne enkakwé:ni' ia'tenshana'kwaie'wén:ta'ne'.
<MOH id = 894 >	15 Nó:nen enkarì:wen'ne' naterihwakwarihsiónhtshera', enhontonhnhà:ren' ne tionkwe'taié:ri, nok ne ronnonkwe'táksen's enthati'nikòn:ren'ne'.

<MOH id = 896 >	****** Result for Image/Page 47 ******

<MOH id = 899 >	16 Kenhé:ion iakohrhá:re' nónhka é:ren én:ienhte ne ka'nikonhrí:io.
<MOH id = 900 >	17 Tóka' ne ensaniá:ra' kakwatshéhsera', tánon' sé:ka's iokhwáre'sen's tánon' otsì:tsa' ohné:ka' iah ki' nonwén:ton thaiesakwátshe'ne'.
<MOH id = 901 >	18 Nón:kwe ne ionkwe'táksen's ronte'niéntha' nahshakotikarón:ni' ne tionkwe'taié:ri nok ki' ronónha enshontatkarón:ni'.
<MOH id = 902 >	19 Ne sénha ioiánere' tsi nón:we iaonhwenhtsathèn:ke tsi nón:we iah ónhka teienákere' tho nón: nahen'terón:take' tsi ní:ne skátne ahni'terón:take' ne ró:ne iakotewennaientónhtskon, tánon' ierihwakà:tats.
<MOH id = 903 >	20 Nón:kwe ronttokhahtsherí:io rotikwátshe' tánon' kakwatshehserá:kon tsi ratì:teron, nok ne iah tha'tehoti'nikonhráthe' tsi niiosnó:re' enhatiié:na' nohwísta' tho niiosnó:re' tsi enhonthwistahní:non'.
<MOH id = 904 >	21 Tasarihwaié:rik tánon' sarihwakwarihsiónhak tánon' karì:wes enhsónhnheke'; ronatia'kè:shon eniesakwénienhste' tánon' entiesarihwaierítsten'.
<MOH id = 905 >	22 Rashotahrhakwe'ní:io tóka' rattokhahtsherí:io enhakwé:ni' ienhanaténhawe' awerohátien tsi né:ne kwah rati'shátste' ne rontenatanónhnha', tenhahrihtánion' otstèn:ra' tetewahsonhtó:ton né:ne kwah ratiniahesèn:ne.
<MOH id = 906 >	23 Tóka' íhsehre' tóhsa othé:nen taiesa'nikonhrhá:ren', se'nikòn:rarak tsi nahò:ten' enhsì:ron'.
<MOH id = 907 >	24 Takena'tón:hahs ónhka iená:ie' tánon' enkonna'tón:hahse' nónhka iakotkenhronniáhtskon, iontatón:ni, tánon' ronónha khok rontatè:iahre'.
<MOH id = 908 >	25 Nón:kwe ronnentóhrha' iah tehonthón:tats nahotiió'ten' ronónha enhontatkarón:ni'; 
<MOH id = 909 >	26 Nek ronnonhtonniónkwas tsi nahò:ten' ronhská:neks nahotiién:ta'ne'. Ne tionkwe'taié:ri, enhatikwé:ni' aontahónhtka'we' tánon' é:so naontahshakó:non'.
<MOH id = 911 >	27 Roiá:ner ráhswens nó:nen iah tetionkwe'taié:ri aontahonwahawíhten' ne karihwiio'shokòn:'a naterennaientahtsherá:kon né: tsi wanonhtonnionhtsheráksen's tsi ní:ioht tsi ronnonhtonniónkwas.

<MOH id = 913 >	****** Result for Image/Page 48 ******

<MOH id = 916 >	28 Tsi nahò:ten' enthatá:ti' ne ronó:wen iah ónhka thaontahonwéhtahkwe', nok nónhka enionnonhtónnionhwe' ohén:ton naiewenníneken'ne' enwá:ton' naontaiakéhtahkwe'.
<MOH id = 917 >	29 Nón:kwe ne tionkwe'taié:ri's kwah tokèn:'en ronaterièn:tare' nó:nen tkaié:ri tsi nihontiéhrha'; nok ne iah tetionkwe'taié:ri's shakotininonhwarori'tón:nis nakohrèn:shon tsi nihontiéhrha'.
<MOH id = 919 >	30 Nón:kwe nakottokháhtshera', teka'nikonhrathè:tha', tánon' kaka'enionhtsherí:io — iah othé:nen thaiesaia'takéhnha' tóka' ne Roiá:ner iah tethiáhnhes.
<MOH id = 920 >	31 Enhskwé:ni' nakohsá:tens enhsheweienén:ta'ne' nakonteriióhsera', nok ki' Roiá:ner khok entháhtka'we' nahonte'shén:ni'.
<MOH id = 922 >	
<MOH id = 923 >	22 Tóka' wateri'wanóntha' ka' niká:ien ahserá:ko' naiesahsenniióhake', tóka' ò:ni' atsho'kowáhtshera' ne ki' será:ko naiesahsenniióhake'.
<MOH id = 924 >	22 Iakokwátshe' tánon' iakó:ten ne shà:ka tsi ní:ioht ne Roiá:ner tsi shakoia'tíson.
<MOH id = 925 >	3 Nón:kwe ionttokhahtsherí:io óksa'k ienieién:tere'ne' tóka' tá:we' ne ka'nikonhrharáhtshera' é:ren én:ienhte', nok ónhka iah thia'taionnonhtónnionhwe' kwah nen' nè:'e tho nienhén:ien' tsi nón: tetewa'nikónhrhare' tánon' nohna'kénhkha entsontateri'wáhsten'.
<MOH id = 926 >	4 Tshewén:narahkw ne Roiá:ner, saní:tenht, tánon' enhsié:na' kakwatshéhsera', kakwenienhstáhtshera' tánon' enhsonhnhé:son.
<MOH id = 927 >	5 Tóka' senorónhkhwa' tsi sónhnhe', é:ren í:seht tsi nón:we tewaterístaien, iakoié:nas ne iakorihwanera'ákskon.
<MOH id = 928 >	6 Sherihónnien ratiksa'okòn:'a tsi ní:ioht tsi ahonnónhnheke', tánon' enhonnehià:rake' tsi nikarì:wes enhonnónhnheke'.
<MOH id = 929 >	7 Rotikwatshénion ronatatehnha'tsherón:ni ne rotitenhténion. Nónhka eniesahwístani' í:se' ki' sehnhnhà:tshera' enwá:ton'.
<MOH id = 930 >	8 Tóka' wahétken tsi nenhsheiatié:ra'se' nonkwehshòn:'a atkarónnia ki' ensehsienthó:ko', tánon' enwatò:kten' ne nónhka akò:ren ahshehwísha'te'.
<MOH id = 931 >	 
<MOH id = 932 >	****** Result for Image/Page 49 ******

<MOH id = 935 >	9 Tisarihwaié:rik tánon' tashé:ion atennà:tshera' ne iakotenhténion. Enhsié:na' kaia'tateríhtshera'.
<MOH id = 936 >	10 É:ren sheia'tenhá:wiht nónhka iontatkweniénhstha', thó:ne enwatò:kten' ne taionterihwakén:ni', taieri'wakéhnha', tóka' ò:ni' nia'té:kon taiontaténhahse'.
<MOH id = 937 >	11 Tóka' seriahsí:io tánon' kawenní:io's, nahò:ten' aontahsewenníneken'ne', entsatén:roke' ki' ne ronontí:io.
<MOH id = 938 >	12 Roiá:ner enhanónhstate' tsi nahò:ten' tó:kenske, nok ne iah thaharihwaié:na' raotiwén:na' ne rotinó:wen's.
<MOH id = 939 >	13 Nón:kwe ronnentóhrha' tió:konte' kanónhskon ratì:teron; rón:ton tóka' nòn:wa kèn:reks eniakoié:na' tóka' átste nienhón:ne'.
<MOH id = 940 >	14 Atenahkwaiesáhtshera' waterístaien — iakoié:nas ne ká:ti' kí:ken Roiá:ner enhonwana'kón:ni'.
<MOH id = 941 >	15 Ratiksa'okòn:'a kwah nen' nè:'e sha'oié:ra tsi ononhwarorì:ta' tánon' iah tehati'nikòn:rare' tsi rontoriahnerónkwas, nok tóka' enhshehré:wahte' enhotirihónnien' oh ní:ioht tsi tha'tahontó:tate'.
<MOH id = 942 >	16 Tóka' enhsón:ni' nahò:ten' ahshé:ion' ne rotikwátshe' tánon' tóka' ò:ni' ehtà:ke enhsheión:ni' ne rotitenhténion, íhsehre' eh tho naontá:we' aiesakwátshe'ne', í:se' ki' ò:ni' ensenténhta'ne'.
<MOH id = 943 >	Áhsen Niwáhsen Niiowén:nake Nattokháhtshera'
<MOH id = 944 >	17 Satahónhsatat, tánon' enkonrihónnien' tsi nahò:ten' ne roti'nikonhrowá:nen's thonatá:ti. Satéweienst tsi nahò:ten' shakotirihonnién:nis, 
<MOH id = 945 >	18 tánon' enhsatshennón:ni' tóka' enhsehià:rake' ne raotiwenna'shòn:'a tánon' enhskwé:ni' taontahsathna'néta'. 
<MOH id = 946 >	19 Tewakatonhwentsó:ni nahtsheniáhese' ne Roiá:ner; ne ká:ti' enkarihón:ni' ó:nen enkonhró:ri'. 
<MOH id = 947 >	20 Áhsen niwáhsen niiorì:wake wakhiá:ton ní:se' sarihwà:ke. Ne káhawe' attokháhtshera' tánon' ka'nikonhrí:io, 
<MOH id = 948 >	21 tánon' ensarihónnien' nahò:ten' kén:ton norihwí:io. Sok nó:nen ieniesaténniehte' nahserihwisákha', nek tentéhshawe' tsi nahò:ten' tkaié:ri nowenna'shòn:'a tenwaterihwa'será:ko'.

<MOH id = 950 >	****** Result for Image/Page 50 ******


<MOH id = 954 >	22 Tóhsa ehtà:ke sheión:ni ne rotí:ten só:tsi ken sakwénion; tóhsa ò:ni' ehtà:ke sheión:ni ne iah thahatikwé:ni' nahontatia'takéhnha' tsi tehshakotiia'torehtáhkhwa'.
<MOH id = 955 >	23 Roiá:ner tenhshakori'wakéhnha'se' ne raotirihwà:ke tánon' enhshakotetshahníhten' tsi ronnónhnhe' nónhka enhonwanatetshahníhten'.

<MOH id = 957 >	24 Tóhsa sheiatenro'serónnien nón:kwe ronteriiohseranòn:we tánon' ratina'kwahseró:hen. 
<MOH id = 958 >	25 Tóka' nòn:wa enhseweientéhta'ne' tsi nihatiweiennò:ten' tánon' iah thahskwé:ni' taonsahsatté:ni'.

<MOH id = 960 >	26 Tóhsa í:se' sehrhá:ratst ahskária'ke' nakò:ren iakotká:rote'.
<MOH id = 961 >	27 Tóka' iah thahskwé:ni' nakwé:kon naonsahskária'ke', ienhatíhawe' ok ò:ni' ne sanákta'.

<MOH id = 963 >	28 Tóhsa nonwén:ton ia'sóhetst nonhwéntsa' tsi nón: nikaristì:seron ne iethihsothokòn:'a rotiieronnítston.

<MOH id = 965 >	29 Takena'tón:hahs nónhka raio'tenhserí:io, tánon' enkonna'tón:hahse' ónhka sénha ionkwe'tí:io tánon' tehotèn:tshon skátne ahonnè:sheke' ne rotinontí:io's.
	 
<MOH id = 968 >	****** Result for Image/Page 51 ******


<MOH id = 971 >	23 Nó:nen enhsátien' tenhsatskà:hon' taietsá:tonte' nónhka rahsennowá:nen, sehià:rak tsi è:neken thótte'. 
<MOH id = 972 >	2 Tóka' sekhowá:nen satatié:na tóhsa é:so í:sek. 
<MOH id = 973 >	3 Tóhsa kwéskwes satatón:ni, kakhwí:io nahò:ten' enhiá:nonte', tóka' nòn:wa nek ne iate'nienténhse'. 

<MOH id = 975 >	4 Kwah ia'tekaién:tak tsi tesa'nikonhráthek ne tóhsa tahsatathwishenhé:ia'te' tsi sate'niéntha' naiesakwátshe'ne'. 
<MOH id = 976 >	5 Sahwísta' iosnó:re' ienwátsha'ahte' tsi shí:ken taonttsiraríkhon' tánon' wa'tkanerahontshón:ta'ne' tsi ní:ioht ne à:kweks wa'tká:ten'. 

<MOH id = 978 >	6 Tóhsa tesatskà:hon raotekhwahrahtsherákta ne ronì:'on, tóhsa ò:ni' kwéskwes satatón:ni ne kakhwí:io enhiá:tatshe'. 
<MOH id = 979 >	7 Wahèn:ron', "Háo' shé:kon sasatatéhrhahs, " iah ki' tho tehorihò:ten', ase'kénh tsi nahò:ten' ranonhtónnion tho ki' ò:ni' nihaia'tò:ten'. 
<MOH id = 980 >	8 Entehsátstike' tsi nahò:ten' wáhseke', tánon' tsi nahò:ten' wa'tehtsherénhsaron' enkaiésha'. 

<MOH id = 982 >	9 Tóhsa sate'nién:ten taiesenihthá:ren' ne nahò:ten' orì:wa' ne tehotenonhwarorì:tonte'; ase'kénh iah tehó:ien nahawerien'tí:io'. 
 
<MOH id = 984 >	10 Tóhsa nonwén:ton iahà:shrek tsi karistì:seron nonhwéntsa' tánon' tóhsa nonwén:ton shéhkhwa raononhwéntsa' ne ratiksa'okòn:'a tehonatonhnhakarì:'on. 
<MOH id = 985 >	11 Roiá:ner ne ro'shatstenhserowá:nen tehshakóhnhes tánon' tenhari'wakéhnha' ne raotirhwà:ke. 

<MOH id = 987 >	****** Result for Image/Page 52 ******


<MOH id = 990 >	12 Satahónhsatat nónhka iesarihonnién:ni tsi ní:kon enhskwé:ni' nahseweientéhta'ne'. 

<MOH id = 992 >	13 Tóhsa tesanonhià:nik nahshehré:wahte' sheien'okòn:'a. Iah thahotíriohte' ne tahshehnà:tshe'ke'. 
<MOH id = 993 >	14 Tóka' nòn:wa ne enkarihón:ni' enhoti'niá:kenhte'. 

<MOH id = 995 >	15 Konièn:'a, tóka' tensa'nikonhráthe'ne', é:so tsi enkatshennón:ni'. 
<MOH id = 996 >	16 Enkená:ie'ne' nó:nen enwakathón:te'ne' tsi sáhthare' nattokháhtshera' owenna'shòn:'a. 

<MOH id = 998 >	17 Tóhsa sheiahská:nek ne rotirihwanera'ákskon; nek ehtskweniénhsthak ne Roiá:ner nek tetskà:nerak ní:se' tsi sónhnhe'. 
<MOH id = 999 >	18 Tóka tho ní:ioht tiótkon tsi nén:we' ki' tsi tensahswátheke'. 

<MOH id = 1001 >	19 Satahónhsatat, konièn:'a, sattokhahtsheriióhak tánon' kwah tokèn:'en sanonhtonnión:ko tsi ní:ioht tsi sonhnhétie'. 
<MOH id = 1002 >	20 Tóhsa skátne sewè:shek nón:kwe só:tsi é:so otsì:tsa' ratihnekíhrha', tóka' ni' ne kákhwa' ronnohetstáhkhwa' tsi rón:neks. 
<MOH id = 1003 >	21 Ne ratihnekakà:stha' tánon' ronnitshéhos ne entkáhawe' tsi enhotiténhton. Tóka' nek sarì:waien tahsahtskà:hon' tánon' aiesén:ta'we' iosnó:re' otkaróhkwa' enwá:ton' ne satsherónnia. 
	 
<MOH id = 1005 >	****** Result for Image/Page 53 ******

<MOH id = 1008 >	22 Ehtshatahónhsatat ne ia'níha; tóka' iah raónha thakénhake' iah ki' kèn:'en thahsè:sheke'. Nó:nen sa'nisténha entiakó:ien'ne' shena'tón:hahs tsi sherihwakweniénhstha'. 
<MOH id = 1009 >	23 Ne orihwí:io, attokháhtshera', karihonnienníhtshera' tánon' wanonhtonnionhtsherí:io ne kí:ken akwé:kon sha'tékena nahskária'ke', nok só:tsi é:so sha'tékena nahsatenhní:non'. 
<MOH id = 1010 >	24 Tóka' tehsonkwe'taié:ri, rotí:ien ki' nè:'e iesaièn:'a nahonatonhnhà:rake'. Tánon' enwá:ton' nahsená:ie'ne' tóka' sawí:raien ne rattokhahtsherí:io. 
<MOH id = 1011 >	25 Tashé:ion ia'níha tánon' sa'nisténha nahniná:ie'ne' ní:se' sarihwà:ke; tashé:ion sa'nisténha naiakotonhnhà:rake'. 
<MOH id = 1012 >	-17- 
<MOH id = 1013 >	26 Satahonhsí:iohst, konièn:'a, tánon' tsi ní:tsi kónhnhe' satenonwará:ko. 
<MOH id = 1014 >	27 Wathonwisen'tsheráksen tánon' konnón:kwe ne iah tetiotirihwaié:ri eh tho nikontiia'tò:ten' tsi ní:ioht ne iako'wénthos waterístaien. 
<MOH id = 1015 >	28 Tiesahrhá:re' tsi ní:ne ratinénhskwas, tánon' onónha aotirì:wa' ne ronnón:kwe nahontenahkwaié:sahte'. 
<MOH id = 1016 >	-18- 
<MOH id = 1017 >	29 – 30 Takena'tón:hahs nón:kwe só:tsi é:so ratihnekíhrha', tánon' é:so nia'tekahné:kake enhóntken'se', tánon' enkonna'tón:hahse' nón:kwe ne iah tehonatonhnháhere' tánon' rontatí:tenhre', tiótkon nek ne tahshakona'nikonhrhá:ren' tánon' rotirihwaka'tèn:'en. Tiotenekwá:ra ne ratikahrà:ke, tánon' ronatkarewahtánion, aiotòn:'on tóhsa eh tho naiawèn:'en. 
<MOH id = 1018 >	31 Tóhsa otsì:tsa' ohné:ka' tesaren'kén:ni, arohátien tsi kanekwenhtarí:io tánon' wathnekatákwas tánon' watié:sen tsi ienhsahnéhkwane'. 
<MOH id = 1019 >	32 Tsi enióhrhen'ne' íhsehre'k tsi ní:ioht ne tóka' iothniarátteron sakárien. 
<MOH id = 1020 >	33 Nia'té:kon teiotierónnion enhsatkahthóhseron', iah thahskwé:ni' nahsanonhtonnión:ko' tánon' orì:wa' tsi ní:ioht tsi ahsatá:ti'. 
<MOH id = 1021 >	
<MOH id = 1022 >	34 Tho ní:tsi íhsehre' tsi shí:ken kaniatara'kehkó:wa iéhse's, tisane'warà:tani tsi shí:ken sathonwíhare' tsi kanáhstote' kahonweia'kowáhne. 
<MOH id = 1023 >	 
<MOH id = 1024 >	****** Result for Image/Page 54 ******
	
